"contest_num","nickname","passed_time"
1,alekandr.tarelkin,326700
1,alekandr.tarelkin,326580
1,PetrYurchenko,326520
1,alekandr.tarelkin,326520
1,Cosinus0,326460
1,adement,326220
1,pikadzilla,326160
1,Cosinus0,325980
1,alekandr.tarelkin,325920
1,gosix22,325860
1,vkorennoj,325800
1,magleb,325800
1,griddic,325680
1,griddic,325680
1,gosix22,325620
1,"0991798574n",325560
1,magleb,325560
1,gosix22,325440
1,Wag0nWheels,325440
1,magleb,325080
1,magleb,324960
1,iavdonin,324840
1,iavdonin,324840
1,iavdonin,324780
1,DiSO,324780
1,iavdonin,324720
1,DiSO,324660
1,UsatiyNyan,324660
1,Sokoloid,324600
1,iavdonin,324360
1,iavdonin,324360
1,iavdonin,324300
1,iavdonin,324240
1,alekandr.tarelkin,324240
1,alekandr.tarelkin,324180
1,iavdonin,324120
1,iavdonin,323940
1,pikadzilla,323820
1,AntonRampage,323640
1,magleb,323640
1,magleb,323580
1,viconstel,323520
1,iavdonin,323400
1,magleb,323340
1,alekandr.tarelkin,323340
1,iavdonin,323220
1,alekandr.tarelkin,323040
1,berlios,322800
1,alekandr.tarelkin,322740
1,AntonRampage,322620
1,AntonRampage,322560
1,alekandr.tarelkin,322440
1,DiSO,322440
1,alekandr.tarelkin,322380
1,iavdonin,322320
1,vkorennoj,322020
1,magleb,322020
1,andreiAP,321900
1,andreiAP,321780
1,Sokoloid,321600
1,Sokoloid,321600
1,vkorennoj,321540
1,alekandr.tarelkin,321480
1,Cosinus0,321000
1,ilya_milyutin,320760
1,ilya_milyutin,320640
1,Mary222,320220
1,Vetik,318960
1,Vetik,318660
1,Vetik,318480
1,PustotaPetr,317940
1,Vetik,317820
1,Vetik,317460
1,vl.n.ermakov,317400
1,Vetik,317340
1,x-exciter,316380
1,soldatenkoes,314880
1,berlios,314640
1,anyamb,314100
1,anyamb,313440
1,anyamb,313080
1,anyamb,312720
1,ainureg,312540
1,ainureg,312480
1,ainureg,312420
1,okate88,308760
1,shubinsa,307920
1,shubinsa,305220
1,griddic,300660
1,griddic,300480
1,griddic,300180
1,griddic,299880
1,griddic,299760
1,griddic,299700
1,griddic,299640
1,biquaternion,299280
1,biquaternion,299160
1,biquaternion,298800
1,GreySS,298740
1,GreySS,298620
1,GreySS,298500
1,oleg_nazarov,297660
1,impersonalis,297600
1,impersonalis,297180
1,impersonalis,296820
1,biquaternion,296820
1,biquaternion,296640
1,impersonalis,296400
1,GreySS,294240
1,empty_kettle,294120
1,empty_kettle,293880
1,vl.n.ermakov,293280
1,impersonalis,293220
1,robspb,293160
1,robspb,293100
1,empty_kettle,292860
1,empty_kettle,292860
1,empty_kettle,292800
1,empty_kettle,292800
1,Gra37,292800
1,empty_kettle,292740
1,empty_kettle,292740
1,GreySS,292500
1,llevcono,292260
1,robspb,292200
1,azapletin,292140
1,kay_si,291540
